"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.35,0,0,0,0,0.7,1,1.67e-07,0.00167,-0.000344,0,-0,0.143,0,0.0806,-0.043,0
0.358,0,0,0,0,0.716,1,1.67e-07,0.00162,-0.000345,0,-0,0.141,0,0.0773,-0.0423,0
0.366,0,0,0,0,0.731,1,1.67e-07,0.00156,-0.000345,0,-0,0.139,0,0.0742,-0.0416,0
0.374,0,0,0,0,0.747,1,1.67e-07,0.0015,-0.000344,0,-0,0.136,0,0.0712,-0.0409,0
0.381,0,0,0,0,0.763,1,1.67e-07,0.00145,-0.000343,0,-0,0.134,0,0.0682,-0.0402,0
0.389,0,0,0,0,0.778,1,1.67e-07,0.00139,-0.000342,0,-0,0.132,0,0.0654,-0.0395,0
0.397,0,0,0,0,0.793,1,1.67e-07,0.00134,-0.000341,0,-0,0.129,0,0.0626,-0.0389,0
0.404,0,0,0,0,0.808,1,1.67e-07,0.00129,-0.00034,0,-0,0.127,0,0.06,-0.0382,0
0.412,0,0,0,0,0.823,1,1.67e-07,0.00125,-0.000338,0,-0,0.125,0,0.0574,-0.0375,0
0.419,0,0,0,0,0.838,1,1.67e-07,0.0012,-0.000337,0,-0,0.123,0,0.0549,-0.0368,0
0.426,0,0,0,0,0.853,1,1.67e-07,0.00115,-0.000335,0,-0,0.121,0,0.0525,-0.0361,0
0.434,0,0,0,0,0.867,1,1.67e-07,0.00111,-0.000333,0,-0,0.118,0,0.0502,-0.0354,0
0.441,0,0,0,0,0.881,1,1.67e-07,0.00106,-0.00033,0,-0,0.116,0,0.048,-0.0348,0
0.447,0,0,0,0,0.895,1,1.67e-07,0.00102,-0.000326,0,-0,0.114,0,0.0458,-0.0341,0
0.454,0,0,0,0,0.908,1,1.67e-07,0.000969,-0.00032,0,-0,0.111,0,0.0438,-0.0334,0
0.46,0,0,0,0,0.92,1,1.67e-07,0.000919,-0.000314,0,-0,0.108,0,0.0418,-0.0327,0
0.466,0,0,0,0,0.932,1,1.67e-07,0.000865,-0.000305,0,-0,0.105,0,0.0398,-0.0321,0
0.472,0,0,0,0,0.943,1,1.67e-07,0.000807,-0.000294,0,-0,0.102,0,0.038,-0.0314,0
0.477,0,0,0,0,0.954,1,1.67e-07,0.000745,-0.00028,0,-0,0.0983,0,0.0362,-0.0307,0
0.482,0,0,0,0,0.963,1,1.67e-07,0.000677,-0.000263,0,-0,0.0939,0,0.0344,-0.0301,0
0.486,0,0,0,0,0.972,1,1.67e-07,0.000605,-0.000242,0,-0,0.089,0,0.0328,-0.0294,0
0.49,0,0,0,0,0.98,1,1.67e-07,0.000525,-0.000217,0,-0,0.0831,0,0.0312,-0.0288,0
0.493,0,0,0,0,0.987,1,1.67e-07,0.00044,-0.000188,0,-0,0.0763,0,0.0296,-0.0281,0
0.496,0,0,0,0,0.992,1,1.67e-07,0.000346,-0.000153,0,-0,0.0679,0,0.0282,-0.0275,0
0.498,0,0,0,0,0.996,1,1.67e-07,0.000246,-0.000112,0,-0,0.0574,0,0.0267,-0.0268,0
0.499,0,0,0,0,0.999,1,1.67e-07,0.000136,-6.41e-05,0,-0,0.0429,0,0.0254,-0.0262,0
0.5,0,0,0,0,1,1,1.67e-07,1.85e-05,-8.98e-06,0,-0,0.0158,0,0.0241,-0.0256,0
0.499,0,0,0,0,0.999,1,1.67e-07,-0.000108,5.44e-05,0,-0,0.0385,0,0.0228,-0.025,0
0.498,0,0,0,0,0.996,1,1.67e-07,-0.000245,0.000127,0,-0,0.0581,0,0.0216,-0.0243,0
0.496,0,0,0,0,0.992,1,1.67e-07,-0.000391,0.00021,0,-0,0.0737,0,0.0204,-0.0237,0
0.492,0,0,0,0,0.985,1,1.67e-07,-0.000547,0.000303,0,-0,0.0875,0,0.0193,-0.0231,0
0.488,0,0,0,0,0.976,1,1.67e-07,-0.000714,0.000409,0,-0,0.1,0,0.0183,-0.0225,0
0.482,0,0,0,0,0.964,1,1.67e-07,-0.000891,0.000528,0,-0,0.113,0,0.0173,-0.0219,0
0.475,0,0,0,0,0.95,1,1.67e-07,-0.00108,0.000661,0,-0,0.125,0,0.0163,-0.0213,0
0.466,0,0,0,0,0.932,1,1.67e-07,-0.00128,0.00081,0,-0,0.136,0,0.0153,-0.0208,0
0.456,0,0,0,0,0.912,1,1.67e-07,-0.00149,0.000978,0,-0,0.148,0,0.0145,-0.0202,0
0.444,0,0,0,0,0.889,1,1.67e-07,-0.00171,0.00116,0,-0,0.16,0,0.0136,-0.0196,0
0.431,0,0,0,0,0.862,1,1.67e-07,-0.00195,0.00137,0,-0,0.171,0,0.0128,-0.0191,0
0.416,0,0,0,0,0.831,1,1.67e-07,-0.00217,0.00158,0,-0,0.182,0,0.012,-0.0185,0
0.399,0,0,0,0,0.797,1,1.67e-07,-0.00246,0.00186,0,-0,0.195,0,0.0113,-0.018,0
0.38,0,0,0,0,0.759,1,1.67e-07,-0.00268,0.00209,0,-0,0.205,0,0.0106,-0.0174,0
0.359,0,0,0,0,0.717,1,1.67e-07,-0.00299,0.00242,0,-0,0.218,0,0.0099,-0.0169,0
0.335,0,0,0,0,0.671,1,1.67e-07,-0.00325,0.00273,0,-0,0.23,0,0.00927,-0.0164,0
0.31,0,0,0,0,0.62,1,1.67e-07,-0.00353,0.00308,0,-0,0.241,0,0.00866,-0.0158,0
0.283,0,0,0,0,0.566,1,1.67e-07,-0.00382,0.00346,0,-0,0.254,0,0.00809,-0.0153,0
0.253,0,0,0,0,0.506,1,1.67e-07,-0.00411,0.00387,0,-0,0.266,0,0.00754,-0.0148,0
0.221,0,0,0,0,0.443,1,1.67e-07,-0.0044,0.00431,0,-0,0.277,0,0.00703,-0.0143,0
0.187,0,0,0,0,0.375,1,1.67e-07,-0.00469,0.00477,0,-0,0.289,0,0.00654,-0.0138,0
0.151,0,0,0,0,0.302,1,1.67e-07,-0.00497,0.00527,0,-0,0.302,0,0.00608,-0.0134,0
0.113,0,0,0,0,0.225,1,1.67e-07,-0.00525,0.00579,0,-0,0.313,0,0.00564,-0.0129,0
0.0719,0,0,0,0,0.144,1,1.67e-07,-0.00552,0.00634,0,-0,0.325,0,0.00523,-0.0124,0
0.0292,0,0,0,0,0.0585,1,1.67e-07,-0.00578,0.00691,0,-0,0.337,0,0.00484,-0.012,0
-0.0154,0,0,0,0,-0.0309,1,1.67e-07,-0.00603,0.00751,0,-0,0.349,0,0.00448,-0.0115,0
