"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         125,      -4.987254258,      -4.332439773,       -4.40927894,      -8.880909641
          0,           0,         126,      -4.989550736,      -4.330269683,      -4.408791958,       -8.87937614
          0,           0,         127,      -4.991855317,      -4.327963937,      -4.407975595,      -8.877739899
          0,           0,         128,      -4.993973654,      -4.325465522,      -4.406709727,      -8.876004863
          0,           0,         129,      -4.995733419,      -4.322733173,      -4.404908612,      -8.874166871
          0,           0,         130,      -4.997014693,      -4.319748349,      -4.402538343,      -8.872223125
          0,           0,         131,      -4.997776509,      -4.316519789,      -4.399628589,      -8.870169648
          0,           0,         132,      -4.998072975,      -4.313084653,      -4.396275494,      -8.867999536
          0,           0,         133,      -4.998054355,       -4.30950584,      -4.392634547,      -8.865706168
          0,           0,         134,      -4.997952331,      -4.305865809,      -4.388904566,      -8.863289743
          0,           0,         135,      -4.998053301,      -4.302257586,      -4.385305655,      -8.860730626
          0,           0,         136,      -4.998666529,       -4.29877477,      -4.382055114,      -8.858044199
          0,           0,         137,      -5.000085578,      -4.295502737,      -4.379346758,      -8.855221898
          0,           0,         138,      -5.002560317,      -4.292510262,      -4.377333047,      -8.852259724
          0,           0,         139,      -5.006276158,      -4.289843407,      -4.376112791,      -8.849149534
          0,           0,         140,      -5.011340266,      -4.287522288,      -4.375724853,      -8.845899181
          0,           0,         141,      -5.017774682,      -4.285540713,      -4.376147451,      -8.842493338
          0,           0,         142,      -5.025515426,      -4.283868474,       -4.37730242,      -8.838926271
          0,           0,         143,       -5.03441689,      -4.282455773,      -4.379063745,      -8.835195059
          0,           0,         144,      -5.044261341,      -4.281239164,      -4.381269594,      -8.831299951
          0,           0,         145,      -5.054773608,      -4.280148247,      -4.383736945,      -8.827239077
          0,           0,         146,      -5.065640927,      -4.279112357,      -4.386277648,      -8.823007957
          0,           0,         147,      -5.076537225,      -4.278066522,      -4.388714435,      -8.818605693
          0,           0,         148,      -5.087149238,      -4.276956054,      -4.390895417,      -8.814032351
          0,           0,         149,      -5.097203026,       -4.27573963,      -4.392705054,      -8.809271083
          0,           0,         150,      -5.106488806,      -4.274390279,      -4.394069677,      -8.804334082
          0,           0,         151,      -5.114869042,      -4.272894619,      -4.394960063,      -8.799216479
          0,           0,         152,       -5.12228192,      -4.271251323,      -4.395388788,      -8.793931675
          0,           0,         153,      -5.128733507,      -4.269468486,      -4.395403879,        -8.7884809
          0,           0,         154,      -5.134282754,      -4.267560709,      -4.395080351,      -8.782870388
          0,           0,         155,      -5.139023585,      -4.265546338,      -4.394511076,      -8.777108869
          0,           0,         156,      -5.143068291,      -4.263445198,      -4.393798131,       -8.77120912
          0,           0,         157,      -5.146535283,      -4.261276946,      -4.393045409,      -8.765188274
          0,           0,         158,      -5.149542461,      -4.259060098,      -4.392352821,      -8.759043864
          0,           0,         159,      -5.152205813,       -4.25681162,      -4.391812138,       -8.75280499
          0,           0,         160,      -5.154641662,      -4.254546984,      -4.391504275,      -8.746484351
          0,           0,         161,      -5.156970452,      -4.252280472,      -4.391497739,      -8.740100887
